id,title,plot
6393,Strange Days on Planet Earth,"Around the globe, scientists are racing to solve a series of mysteries. Unsettling transformations are sweeping across the planet, and clue by clue, investigators around the world are assembling a new picture of Earth, discovering ways that seemingly disparate events are connected. Crumbling houses in New Orleans are linked to voracious creatures from southern China. Vanishing forests in Yellowstone are linked to the disappearance of wolves. An asthma epidemic in the Caribbean is linked to dust storms in Africa. Scientists suspect we have entered a time of global change swifter than any human being has ever witnessed. Where are we headed? What can we do to alter this course of events? National Geographic's Strange Days on Planet Earth, premiering in Spring 2005 on PBS, explores these questions. Drawing upon research being generated by a new discipline, Earth System Science (ESS), the series aims to create an innovative type of environmental awareness. By revealing a cause and effect relationship between what we as humans do to the Earth and what that in turn does to our environment and ecosystems, the series creates a new sense of environmental urgency. Award-winning actor, writer and director Edward Norton (Primal Fear, American History X, Italian Job) hosts the series. A dedicated environmental activist, Norton has a special interest in providing solar energy to low income families. Each of the four one-hour episodes is constructed as a high-tech detective story, with the fate of the planet at stake.::Anonymous"
6394,Biwi No. 1,"A housewife learns that her husband is cheating on her. Thus, her quest to bring him back begins"
6395,Acceptable Risk,"When her husband, Lee, is murdered, Sarah Manning comes to realize that she knows nothing about his past. Sarah begins to question who Lee actually was and what he did in his work for a powerful global organization."
6396,The Origins of Coronavirus Explained in 1 Minute,"Founder of Viva, Juliet Gellatley, explains the origin of the Corona-virus in 60 seconds."
6397,The Forsyte Saga,"Chronicles the lives of three generations of the upper-middle-class British family, the Forsytes, from the 1870s to 1920."
6398,Fai seung dat yin,"A group of inept Mainland criminals botch a jewelry store robbery. The cops, led by the straight-laced Ken and the wise-cracking Sam, begin to investigate the case and quickly confuse the jewel thieves with a group of hard-ass Mainland robbers staying in the same area."
6399,The Magic School Bus Explores the Human Body,
6400,The X-Files: Season 11 - The Scully Effect,"Celebrate the enduring, powerful character of Special Agent Dana Scully, M.D, the scientific phenomenon that she inspired for young women all over the globe, and the importance of female representation both in front and behind the camera of The X-Files."
6401,Madonna: Drowned World Tour 2001,A video concert showing Madonna's Drowned World Tour in 2001.
6402,Hum Dil De Chuke Sanam,"Nandini has to choose between Sameer, the man who taught her to fall in love; and Vanraj, the man from whom she learnt how to abide and fulfill promises of love."
6403,Faust,The demon Mephisto wagers with God that he can corrupt a mortal man's soul.
6404,The Confessions of Robert Crumb,"In 1987, Robert Crumb presents himself: raised by a Marine father, educated in Catholic schools, married at 21 in Cleveland where he worked for a greeting card company, dropping acid in 1965, heading to San Francisco and getting in on the formation of Zap Comix, gaining celebrity, loving old time jazz, starting a band, living in a commune, meeting Aline Kominsky who became his second wife and his partner in art, having a daughter, and developing a more realistic drawing style. The confessions include his loneliness, his obsessions with women, his bewilderment by fame, his sense of the disintegration of Sixties' subculture, his nervous breakdown in 1973, and his peace now.::<jhailey@hotmail.com>"
6405,Storm Chasers,Storm chasers are chasing storm for powerful tornado in history.
6406,Black River,"In 1759, in Pennsylvania's Allegheny Valley, local settlers and Indian fighters try to persuade the British authorities to ban the trading of alcohol and arms with the marauding Indians."
6407,See the Sea,"While waiting her husband return from a business trip, a young woman with a baby is getting close with a strange woman traveler."
6408,That's Entertainment!,Various MGM stars from yesterday present their favourite musical moments from the studio's 50 year history.
6409,4 Little Girls,A documentary of the notorious racial terrorist bombing of an African American church during the Civil Rights Movement.
6410,Zatoichi,"The blind masseur/swordsman comes to a town in control of warring gangs, and while bunking with a farming family, he meets two women with their own agenda."
6411,Teletubbies: Here Come the Teletubbies,The Teletubbies continue there adventure in La La Land
6412,Dusting Cliff 7,"The young daughter of a tough, female ex-agent is held ransom for the giving over of a top secret information file which outlines the layout of buried nuclear arms being held as garbage under a government restricted cliff seven in the desert. But to discover this she must go to the area and there, with some unexpected help, encounters the kidnappers in a daring shoot-out finish.::BOB STEBBINS <stebinsbob@aol.com>"
6413,Gravitation,"ll Shuichi ever dreamed about was following in the footsteps of his pop idol, Ryuichi Sakuma and the band Nittle Grasper. Together with his best friend Hiro, Shuichi's formed a band called Bad Luck and they've even managed to get signed to a major recording label. Unfortunately, the studio deadlines are looming and Shuichi still hasn't finished the lyrics for any of the songs. What he needs is a little inspiration - but he's been running a little low in that department lately. While Hiro recommends finding a girlfriend, fate has other things in store for him - Walking through the park late one night, Shuichi's latest lyrics flutter away and land at the feet of a stunning stranger that takes his breath away. Unfortunately, that mysterious stranger happens to be the famous novelist Eiri Yuki, who completely crushes the young singer by telling him he has ""zero talent"". Now, Shuichi's so annoyed that he's managed to finish his song just so he can find and confront Yuki once again. But, are his actions really motivated by anger, or has he actually fallen in love?::RightStuf"
6414,Knife in the Water,"A couple pick up a hitchhiker on the way to their yacht. The husband invites the young man to come along for their day's sailing. As the voyage progresses, the antagonism between the two men grows. A violent confrontation is inevitable."
6415,Pirates of the Caribbean: The Curse of the Black Pearl,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead."
6416,Switchblade Sisters,The leader of an inner-city girl gang is challenged when a new girl moves into the neighborhood.
6417,Widow of St Pierre,"In a small French colony, a drunken man kills someone. While a guillotine is being shipped in, he changes, becoming a good and popular man."
6418,Mobile Suit Gundam SEED: Special Edition I - The Empty Battlefield,The first Mobile Suit Gundam Seed compilation movie featuring newly made footage.
6419,Campion I: The Case of the Late Pig 2,
6420,The Hunt,"Twelve strangers wake up in a clearing. They don't know where they are, or how they got there. They don't know they've been chosen - for a very specific purpose - The Hunt."
